Name;About;PersonalityType;Universe;Profile;;;;
The Joker;DC Comics : Batman;ENTP_A;BATMAN;Debater;;;;;
Irene Alder;Sherlock Holmes;ENTP_A;;Debater;;;;;
Barack Obama;American politician and attorney who served as the 44th president of the United States from 2009 to 2017;ENTP_A;REALPERSON;Debater;;;;;
Tony Stark (Iron Man);Marvel Cinematic Universe : The Heroes;ENTP_A;MARVEL;Debater;;;;;
Ryuk;Death Note;ENTP_A;;Debater;;;;;
Hange Zo;Shingeki no Kyojin (Attack on Titan);ENTP_A;;Debater;;;;;
Wade Wilson;Deadpool : Marvel Comics;ENTP_A;MARVEL;Debater;;;;;
Leonardo da Vinci;Italian polymath of the High Renaissance, active as a painter, draughtsman, engineer, scientist, theorist, sculptor and architect;ENTP_A;REALPERSON;Debater;;;;;
Nick Wilde;Zootopia;ENTP_A;;Debater;;;;;
Lucifer Morningstar;Lucifer;ENTP_A;;Debater;;;;;
Usopp;One Piece;ENTP_A;;Debater;;;;;
Orochimaru;NARUTO Shippuden;ENTP_A;NARUTO;Debater;;;;;
Korosensei;Ansatsu Kyoushitsu (Assassination Classroom);ENTP_A;;Debater;;;;;
George Weasley;Harry Potter / Wizarding World Films;ENTP_A;HARRYPOTTER;Debater;;;;;
Kevin McCallister;Home Alone;ENTP_A;;Debater;;;;;
Negan Smith;The Walking Dead;ENTP_A;;Debater;;;;;
Niccolo Machiavelli; Italian Renaissance diplomat, philosopher and writer;ENTP_A;;Debater;;;;;
Boris Johnson;British politician, author, and former journalist who has been Prime Minister of the United Kingdom;ENTP_A;;Debater;;;;;
Howard Wolowitz;The Big Bang Theory;ENTP_A;;Debater;;;;;
Gen Asagiri;Dr. Stone;ENTP_A;;Debater;;;;;
Patrick Jane;The Mentalist;ENTP_A;;Debater;;;;;
Askeladd;Vinland Saga;ENTP_A;;Debater;;;;;
Mao Zedong;hinese communist revolutionary who became the founding father of the People's Republic of China;ENTP_A;;Debater;;;;;
Martin Luther King;African American Baptist minister and activist;INFJ_A;;Advocate;;;;;
Nelson Mandela;South African anti-apartheid revolutionary, political leader and philanthropist who served as President of South Africa ;INFJ_A;;Advocate;;;;;
Mother Teresa; Albanian-Indian Roman Catholic nun and missionary;INFJ_A;;Advocate;;;;;
Marie Kondō;Japanese organizing consultant, author, and TV show host;INFJ_A;;Advocate;;;;;
Lady Gaga;American singer, songwriter, and actress;INFJ_A;;Advocate;;;;;
Morgan Freeman;American actor, director, and narrator;INFJ_A;;Advocate;;;;;
Jon Snow;Game Of Thrones GOT;INFJ_A;GOT;Advocate;;;;;
Aragorn ;The Lord of the Rings;INFJ_A;RINGS;Advocate;;;;;
Galadriel;The Lord of the Rings;INFJ_A;RINGS;Advocate;;;;;
Rose Bukater;Titanic;INFJ_A;;Advocate;;;;;
Mickael Scofield;Prison Break;INFJ_A;;Advocate;;;;;
Matthew Murdock;Daredevil;INFJ_A;;Advocate;;;;;
Armin Arlert;Shingeki no Kyojin (Attack on Titan);INFJ_A;;Advocate;;;;;
Itachi Uchiha;NARUTO Shippuden;INFJ_A;NARUTO;Advocate;;;;;
Albus Dumbledore;Harry Potter / Wizarding World Films;INFJ_A;HARRYPOTTER;Advocate;;;;;
Obi-Wan Kenobi;Star Wars;INFJ_A;STARWARS;Advocate;;;;;
Vision;Marvel Cinematic Universe : The Heroes;INFJ_A;MARVEL;Advocate;;;;;
Nagisa Shiota;Ansatsu Kyoushitsu (Assassination Classroom);INFJ_A;;Advocate;;;;;
Kyle Broflovski;South Park;INFJ_A;SOUTHPARK;Advocate;;;;;
Fyodor Dostoevsky;Russian novelist, short story writer, essayist, journalist and philosopher.;INFJ_A;;Advocate;;;;;
Joan of Arc (The Maid of Orleans);heroine of France for her role during the Lancastrian phase of the Hundred Years' War and was canonized as a Roman Catholic saint.;INFJ_A;;Advocate;;;;;
Mohandas Mahatma Gandhi;Indian activist who was the leader of the Indian independence movement against British rule;INFJ_A;;Advocate;;;;;
Clarke Griffin;The 100;INFJ_A;;Advocate;;;;;
Sam Winchester;Supernatural;INFJ_A;;Advocate;;;;;
Qui-Gon Jinn;Star Wars;INFJ_A;STARWARS;Advocate;;;;;
Gellert Grindelwald;Harry Potter / Wizarding World Films;INFJ_A;HARRYPOTTER;Advocate;;;;;
Charles Xavier (Professor X); X-Men Cinematic Universe;INFJ_A;XMEN;Advocate;;;;;
Alicia Keys;American singer-songwriter;INFP_A;;Mediator;;;;;
Amelie Poulain;Amelie;INFP_A;;Mediator;;;;;
Frodo Baggins;The Lord of the Rings;INFP_A;RINGS;Mediator;;;;;
Arwen;The Lord of the Rings;INFP_A;RINGS;Mediator;;;;;
