Name;About;PersonalityType;Universe;Profile;;;;
Kobe Bryant;American former professional basketball player;ISTP_A;REALPERSON;Virtuoso;;;;;
James Howlett Wolverine;X-Men Cinematic Universe;ISTP_A;XMEN;Virtuoso;;;;;
Boba Fett;Star Wars;ISTP_A;STARWARS;Virtuoso;;;;;
Snoop Dogg;American rapper, singer, songwriter, record producer, television personality and actor;ISTP_A;REALPERSON;Virtuoso;;;;;
Darth Maul;Star Wars;ISTP_A;STARWARS;Virtuosoc;;;;;
Dracule Mihawk;One Piece;ISTP_A;ONEPIECE;Virtuoso;;;;;
Billy Butcher;The Boys;ISTP_A;;Virtuoso;;;;;
Jason Todd Red Hood;DC Comics;ISTP_A;;Virtuoso;;;;;
Lana Del Rey;American singer-songwriter;ISFP_A;REALPERSON;Adventurer;;;;;
Jungkook;South Korean singer and songwriter;ISFP_A;REALPERSON;Adventurer;;;;;
Avril Lavigne;Canadian singer, songwriter and actress;ISFP_A;REALPERSON;Adventurer;;;;;
Frida Kahlo;Mexican painter known for her many portraits, self-portraits, and works inspired by the nature and artifacts of Mexico;ISFP_A;REALPERSON;Adventurer;;;;;
Britney Spears;American singer, songwriter, dancer, and actress;ISFP_A;REALPERSON;Adventurer;;;;;
Michael Jackson;American singer, songwriter, and dancer;ISFP_A;REALPERSON;Adventurer;;;;;
Jessica Alba;American actress and businesswoman;ISFP_A;REALPERSON;Adventurer;;;;;
Kate Austen;Lost;ISFP_A;;Adventurer;;;;;
Claire Littleton;Lost;ISFP_A;;Adventurer;;;;;
Tea Queen;Arrow;ISFP_A;ARROW;Adventurer;;;;;
Cinna;The Hunger Games;ISFP_A;HUNGER;Adventurer;;;;;
Smagol;The Lord of the Rings;ISFP_A;RINGS;Adventurer;;;;;
Jonas Kahnwald;Dark;ISFP_A;;Adventurer;;;;;
Mike Tyson;American former professional boxer;ISFP_A;REALPERSON;Adventurer;;;;;
Scott McCall;Teen Wolf;ISFP_A;;Adventurer;;;;;
Sasuke Uchiha;NARUTO Shippuden;ISFP_A;NARUTO;Adventurer;;;;;
Eren Yeager;Shingeki no Kyojin (Attack on Titan);ISFP_A;;Adventurer;;;;;
Billie Eilish;American singer and songwriter;ISFP_A;REALPERSON;Adventurer;;;;;
Harry Potter;Harry Potter / Wizarding World Films;ISFP_A;HARRYPOTTER;Adventurer;;;;;
Eleven;Stranger Things;ISFP_A;;Adventurer;;;;;
Rey;Star Wars;ISFP_A;STARWARS;Adventurer;;;;;
Stan Marsh;South Park;ISFP_A;SOUTHPARK;Adventurer;;;;;
Rihanna;Barbadian singer and songwriter.;ISFP_A;REALPERSON;Adventurer;;;;;
Zayn Malik;English singer and songwriter;ISFP_A;REALPERSON;Adventurer;;;;;
The Weeknd;Canadian singer, songwriter and record producer;ISFP_A;REALPERSON;Adventurer;;;;;
Lionel Messi;Argentine professional footballer;ISFP_A;REALPERSON;Adventurer;;;;;
Legolas;The Lord of the Rings;ISFP_A;RINGS;Adventurer;;;;;
Brad Pitt;American actor and film producer;ISFP_A;REALPERSON;Adventurer;;;;;
Eddie Murphy;American actor, comedian, writer, producer, and singer;ESTP_A;REALPERSON;Entrepreneur;;;;;
Bruce Willis;American actor and film producer;ESTP_A;REALPERSON;Entrepreneur;;;;;
Nicolas Sarkozy;Retired French politician;ESTP_A;REALPERSON;Entrepreneur;;;;;
Samuel L. Jackson;American actor and producer;ESTP_A;REALPERSON;Entrepreneur;;;;;
Jaime Lannister;Game of Thrones;ESTP_A;GOT;Entrepreneur;;;;;
Gabrielle Solis;Desperates Houseswives;ESTP_A;;Entrepreneur;;;;;
Donald Trump;American politician who served as the 45th president of the United States;ESTP_A;;Entrepreneur;;;;;
Thor;Marvel Cinematic Universe: The Heroes;ESTP_A;MARVEL;Entrepreneur;;;;;
Sirius Black;Harry Potter / Wizarding World Films;ESTP_A;HARRYPOTTER;Entrepreneur;;;;;
Han Solo;Star Wars;ESTP_A;STARWARS;Entrepreneur;;;;;
Inosuke Hashibira;Kimetsu no Yaiba(Demon Slayer);ESTP_A;;Entrepreneur;;;;;
Scott Lang Ant-Man;Marvel Cinematic Universe: The Heroes;ESTP_A;MARVEL;Entrepreneur;;;;;
Rocket Raccoon;Marvel Cinematic Universe: The Heroes;ESTP_A;MARVEL;Entrepreneur;;;;;
Damon Salvatore;The Vampire Diaries;ESTP_A;;Entrepreneur;;;;;
Tsunade Senju;NARUTO Shippuden;ESTP_A;NARUTO;Entrepreneur;;;;;
Dwayne The Rock Johnson;merican actor, producer, and semi-retired professional wrestler;ESTP_A;;Entrepreneur;;;;;
Tokyo;La Casa de Papel (The Money Heist);ESTP_A;;Entrepreneur;;;;;
Bronn;Game of Thrones;ESTP_A;GOT;Entrepreneur;;;;;
Madonna;American singer, songwriter, actress, and businesswoman;ESTP_A;REALPERSON;Entrepreneur;;;;;
Carl Grimes;The Walking Dead;ESTP_A;;Entrepreneur;;;;;
Drax;Marvel Cinematic Universe: The Heroes;ESTP_A;MARVEL;Entrepreneur;;;;;
Ramsay Bolton;Game of Thrones;ESTP_A;GOT;Entrepreneur;;;;;
Kenny Ackerman;Shingeki no Kyojin (Attack on Titan);ESTP_A;;Entrepreneur;;;;;
Poe Dameron;Star Wars;ESTP_A;STARWARS;Entrepreneur;;;;;
Boruto Uzumaki;Boruto - Naruto Next Generations;ESTP_A;NARUTO;Entrepreneur;;;;;
50 Cent;American rapper, singer, songwriter, actor, television producer, entrepreneur, and investor;ESTP_A;;Entrepreneur;;;;;
Oliver Queen ;Arrow;ESTP_A;ARROW;Entrepreneur;;;;;
Portgas D. Ace;One Piece;ESTP_A;ONEPIECE;Entrepreneur;;;;;
Jordan Belfort;The Wolf of Wall Street;ESTP_A;;Entrepreneur;;;;;
Gon Freecss;Hunter X Hunter;ESFP_A;;Entertainer;;;;;
Peter Quill Star-Lord;Marvel Cinematic Universe: The Heroes;ESFP_A;MARVEL;Entertainer;;;;;
Elton John;English singer, songwriter, pianist, and composer;ESFP_A;;Entertainer;;;;;
Jamie Foxx;American actor, singer-songwriter, comedian, television presenter, and record producer;ESFP_A;;Entertainer;;;;;
Steve Irwin;Australian zookeeper, television personality, wildlife expert, environmentalist, and conservationist;ESFP_A;;Entertainer;;;;;
Miley Cyrus;American singer, songwriter, and actress;ESFP_A;;Entertainer;;;;;
Adam Levine;American singer, songwriter, record producer, and actor, best known as the lead vocalist of the pop rock band Maroon 5;ESFP_A;;Entertainer;;;;;
Anakin Skywalker;Star Wars;ESFP_A;STARWARS;Entertainer;;;;;
Jesse Pinkman;Breaking Bad;ESFP_A;;Entertainer;;;;;
Ron Weasley;Harry Potter / Wizarding World Films;ESFP_A;HARRYPOTTER;Entertainer;;;;;
Monkey D. Luffy;One Piece;ESFP_A;;Entertainer;;;;;
Adele;English singer and songwriter.;ESFP_A;;Entertainer;;;;;
Son Goku;Dragon Ball Z;ESFP_A;;Entertainer;;;;;
Carol Danvers Captain Marvel;Marvel Cinematic Universe: The Heroes;ESFP_A;MARVEL;Entertainer;;;;;
Nicki Minaj;Trinidadian-born American rapper, singer, songwriter, model, and actress;ESFP_A;;Entertainer;;;;;
Justin Bieber;Canadian singer, actor and songwriter;ESFP_A;;Entertainer;;;;;
Cardi B;American rapper, songwriter, and actress;ESFP_A;;Entertainer;;;;;
Cristiano Ronaldo;Portuguese professional footballer;ESFP_A;;Entertainer;;;;;
Leonardo DiCaprio;American actor, film producer, and environmentalist;ESFP_A;;Entertainer;;;;;
6ix9ine;American rapper;ESFP_A;;Entertainer;;;;;
Nairobi;La Casa de Papel (The Money Heist);ESFP_A;;Entertainer;;;;;
Connie Springer;Shingeki no Kyojin (Attack on Titan);ESFP_A;;Entertainer;;;;;
Sam Wilson Captain America;Marvel Cinematic Universe: The Heroes;ESFP_A;MARVEL;Entertainer;;;;;
Penny;The Big Bang Theory;ESFP_A;;Entertainer;;;;;
Katy Perry;American singer, songwriter, and television judge;ESFP_A;REALPERSON;Entertainer;;;;;
Jack Dawson;Titanic;ESFP_A;;Entertainer;;;;;
Deidara;NARUTO Shippuden;ESFP_A;NARUTO;Entertainer;;;;;
Elizabeth Swann;Pirates of the Caribbean;ESFP_A;PIRATES;Entertainer;;;;;
Prince Harry, Duke of Sussex;Member of the British royal family;ESFP_A;REALPERSON;Entertainer;;;;;
